2026-02-26 10:53:35 | DEBUG    | shortsqueeze.signals:scan_stock - IBB: No signal - price=False (-0.5%, need +5.0%), vol=False (ratio=0.7x, need 3.0x, src=yahoo), vwap=False ($174.36 vs VWAP $175.80), squeeze=False, mom=False
2026-02-26 10:53:35 | DEBUG    | shortsqueeze.signals:scan_stock - DOC: price=$17.55, prev_close=$17.51 (source: yahoo)
2026-02-26 10:53:35 | DEBUG    | shortsqueeze.signals:scan_stock - DOC: No signal - price=False (+0.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($17.55 vs VWAP $17.39), squeeze=False, mom=False
2026-02-26 10:53:36 | DEBUG    | shortsqueeze.signals:scan_stock - XPEV: price=$17.29, prev_close=$18.18 (source: yahoo)
2026-02-26 10:53:36 | DEBUG    | shortsqueeze.signals:scan_stock - XPEV: No signal - price=False (-4.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($17.29 vs VWAP $18.18), squeeze=False, mom=False
2026-02-26 10:53:37 | DEBUG    | shortsqueeze.signals:scan_stock - ZETA: price=$18.09, prev_close=$17.85 (source: yahoo)
2026-02-26 10:53:37 | DEBUG    | shortsqueeze.signals:scan_stock - ZETA: No signal - price=False (+1.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($18.09 vs VWAP $17.29), squeeze=False, mom=False
2026-02-26 10:53:37 | DEBUG    | shortsqueeze.signals:scan_stock - RAPT: price=$57.95, prev_close=$57.96 (source: yahoo)
2026-02-26 10:53:38 | DEBUG    | shortsqueeze.signals:scan_stock - RAPT: Using Yahoo volume=728,351
2026-02-26 10:53:38 | DEBUG    | shortsqueeze.signals:scan_stock - RAPT: No signal - price=False (-0.0%, need +5.0%), vol=False (ratio=0.3x, need 3.0x, src=yahoo), vwap=True ($57.95 vs VWAP $57.94), squeeze=False, mom=False
2026-02-26 10:53:38 | DEBUG    | shortsqueeze.signals:scan_stock - BA: price=$228.42, prev_close=$230.36 (source: yahoo)
2026-02-26 10:53:38 | DEBUG    | shortsqueeze.signals:scan_stock - BA: No signal - price=False (-0.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($228.42 vs VWAP $230.43), squeeze=False, mom=False
2026-02-26 10:53:39 | DEBUG    | shortsqueeze.signals:scan_stock - UAMY: price=$8.71, prev_close=$9.15 (source: yahoo)
2026-02-26 10:53:39 | DEBUG    | shortsqueeze.signals:scan_stock - UAMY: No signal - price=False (-4.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($8.71 vs VWAP $8.84), squeeze=False, mom=False
2026-02-26 10:53:39 | DEBUG    | shortsqueeze.signals:scan_stock - BTDR: price=$7.89, prev_close=$8.55 (source: yahoo)
2026-02-26 10:53:40 | DEBUG    | shortsqueeze.signals:scan_stock - BTDR: No signal - price=False (-7.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($7.89 vs VWAP $8.61), squeeze=False, mom=False
